NodeID,Type,Degree,InDegree,OutDegree
0,EntityNode,234,234,234
1,EntityNode,1952,1952,1952
2,EntityNode,234,234,234
3,EntityNode,1123,1123,1123
4,EntityNode,104,104,104
5,EntityNode,105,105,104
6,EntityNode,1872,1872,1872
7,EntityNode,104,104,104
8,EntityNode,104,104,104
9,EntityNode,365,365,365
10,EntityNode,1872,1872,1872
11,EntityNode,365,365,365
12,EntityNode,104,104,104
13,EntityNode,551,551,551
14,EntityNode,365,365,365
15,EntityNode,365,365,365
16,EntityNode,104,104,104
17,EntityNode,104,104,104
18,EntityNode,365,365,365
19,EntityNode,1872,1872,1872
20,EntityNode,365,365,365
21,EntityNode,104,104,104
22,EntityNode,2201,2201,2201
23,EntityNode,365,365,365
24,EntityNode,365,365,365
25,EntityNode,365,365,365
26,EntityNode,365,365,365
27,EntityNode,1123,1123,1123
28,EntityNode,1123,1123,1123
29,EntityNode,365,365,365
30,EntityNode,234,234,234
31,EntityNode,234,234,234
32,EntityNode,234,234,234
33,EntityNode,1123,1123,1123
34,EntityNode,104,104,104
35,EntityNode,234,234,234
36,EntityNode,234,234,234
37,EntityNode,365,365,365
38,EntityNode,234,234,234
39,EntityNode,234,234,234
40,EntityNode,365,365,365
41,EntityNode,365,365,365
42,EntityNode,365,365,365
43,EntityNode,365,365,365
44,EntityNode,1123,1123,1123
45,EntityNode,365,365,365
46,EntityNode,365,365,365
47,EntityNode,365,365,365
48,EntityNode,234,234,234
49,EntityNode,2002,2002,2002
50,EntityNode,234,234,234
51,EntityNode,234,234,234
52,EntityNode,234,234,234
53,EntityNode,234,234,234
54,EntityNode,365,365,365
55,EntityNode,365,365,365
56,EntityNode,365,365,365
57,EntityNode,365,365,365
58,EntityNode,1123,1123,1123
59,EntityNode,234,234,234
60,EntityNode,1123,1123,1123
61,EntityNode,234,234,234
62,EntityNode,1123,1123,1123
63,EntityNode,234,234,234
64,EntityNode,1123,1123,1123
65,EntityNode,234,234,234
66,EntityNode,1123,1123,1123
67,EntityNode,1123,1123,1123
68,EntityNode,1124,1124,1123
69,EntityNode,1123,1123,1123
70,EntityNode,1123,1123,1123
71,EntityNode,1123,1123,1123
72,EntityNode,1123,1123,1123
73,EntityNode,1123,1123,1123
74,EntityNode,1123,1123,1123
75,EntityNode,1123,1123,1123
76,EntityNode,1123,1123,1123
77,EntityNode,1123,1123,1123
78,EntityNode,1123,1123,1123
79,EntityNode,1123,1123,1123
80,EntityNode,1123,1123,1123
81,EntityNode,1123,1123,1123
82,EntityNode,1123,1123,1123
83,EntityNode,1123,1123,1123
84,EntityNode,1123,1123,1123
85,EntityNode,1123,1123,1123
86,EntityNode,1123,1123,1123
87,EntityNode,1123,1123,1123
88,EntityNode,1123,1123,1123
89,EntityNode,1123,1123,1123
90,EntityNode,1123,1123,1123
91,EntityNode,1123,1123,1123
92,EntityNode,1123,1123,1123
93,EntityNode,1123,1123,1123
94,EntityNode,1123,1123,1123
95,EntityNode,1123,1123,1123
96,EntityNode,1123,1123,1123
97,EntityNode,1123,1123,1123
98,EntityNode,1123,1123,1123
99,EntityNode,1123,1123,1123
100,EntityNode,1123,1123,1123
101,EntityNode,1123,1123,1123
