NodeID,Type,Name,VertexDegree,EdgeDegree,InVertexDegree,OutVertexDegree,InEdgeDegree,OutEdgeDegree,DirectedInVertexDegree,DirectedOutVertexDegree,DirectedInEdgeDegree,DirectedOutEdgeDegree
0,EntityNode,Lytton First Nation,158,3,158,158,3,2,3,0,1,0
1,EntityNode,Chappaquiddick incident,815,3,815,814,3,2,2,0,1,0
2,EntityNode,Wicked Wanda,814,2,814,814,2,1,1,0,1,0
3,EntityNode,Clark Gable,814,3,814,814,3,2,1,0,1,0
4,EntityNode,Time travel,814,3,814,814,3,2,2,0,1,0
5,EntityNode,Kanaka Bar Indian Band,158,3,158,158,3,2,4,0,1,0
6,EntityNode,Tibet,2982,5,2982,2982,5,4,1,0,1,0
7,EntityNode,Iguanodon,2290,2,2290,2290,2,1,1,0,1,0
8,EntityNode,Kangnasaurus,2290,2,2290,2290,2,2,0,0,0,0
9,EntityNode,Jack Horner (paleontologist),2290,3,2290,2290,3,2,3,0,1,0
10,EntityNode,Felice Beato,221,3,221,221,3,2,1,0,1,0
11,EntityNode,British,2934,9,2934,2934,9,8,1,0,1,0
12,EntityNode,Sikandar Bagh,221,2,221,221,2,1,2,0,1,0
13,EntityNode,Naked Lunch,814,3,814,814,3,2,1,0,1,0
14,EntityNode,Ted Kennedy,814,3,814,814,3,2,1,0,1,0
15,EntityNode,sword,472,5,472,472,5,4,1,0,1,0
16,EntityNode,Hwy 1,158,3,158,158,3,2,1,0,1,0
17,EntityNode,Siska First Nation,158,3,158,158,3,2,3,0,1,0
18,EntityNode,Parsi,221,3,221,221,3,2,1,0,1,0
19,EntityNode,shields,221,2,221,221,2,2,0,0,0,0
20,EntityNode,Oregon Jack Creek Indian Band,158,3,158,158,3,2,5,0,1,0
21,EntityNode,Nlaka'pamux,158,3,158,158,3,2,1,0,1,0
22,EntityNode,sepoys,221,2,221,221,2,2,0,0,0,0
23,EntityNode,Spuzzum Indian Band,158,3,158,158,3,2,3,0,1,0
24,EntityNode,Nicola (chief),158,3,158,158,3,2,2,0,1,0
25,EntityNode,Ashcroft Indian Band,158,3,158,158,3,2,3,0,1,0
26,EntityNode,lesbian,814,3,814,814,3,2,1,0,1,0
27,EntityNode,Hadrosauroidea,2290,3,2290,2290,3,2,1,0,1,0
28,EntityNode,Coldwater Indian Band,158,3,158,158,3,2,2,0,1,0
29,EntityNode,cladistic analyses,2290,2,2290,2290,2,2,0,0,0,0
30,EntityNode,Ouranosaurus,2290,2,2290,2290,2,2,0,0,0,0
31,EntityNode,Fraser Canyon Indian Administration,158,3,158,158,3,2,3,0,1,0
32,EntityNode,paraphyletic,2695,4,2695,2695,4,4,0,0,0,0
33,EntityNode,Trans-Canada Highway,158,3,158,158,3,2,1,0,1,0
34,EntityNode,Muttaburrasaurus,2290,2,2290,2290,2,2,0,0,0,0
35,EntityNode,Camptosaurus,3054,6,3054,3054,6,6,0,0,0,0
36,EntityNode,Nawab Saadat Ali Khan,221,3,221,221,3,2,4,0,1,0
37,EntityNode,Early Cretaceous,3149,8,3149,3149,8,8,0,0,0,0
38,EntityNode,siege of Lucknow,221,3,221,221,3,2,1,0,1,0
39,EntityNode,Lucknow,221,3,221,221,3,2,1,0,1,0
40,EntityNode,cladogram,2290,3,2290,2290,3,2,1,0,1,0
41,EntityNode,Probactrosaurus,2290,2,2290,2290,2,2,0,0,0,0
42,EntityNode,Uttar Pradesh,278,5,278,278,5,4,2,0,1,0
43,EntityNode,India,6579,19,6579,6579,19,18,1,0,1,0
44,EntityNode,family,2290,2,2290,2290,2,2,0,0,0,0
45,EntityNode,Callovosaurus,2290,2,2290,2290,2,2,0,0,0,0
46,EntityNode,muskets,221,2,221,221,2,2,0,0,0,0
47,EntityNode,Awadh,221,3,221,221,3,2,1,0,1,0
48,EntityNode,cannon balls,221,3,221,221,3,2,1,0,1,0
49,EntityNode,Nawab of Awadh,221,3,221,221,3,2,2,0,1,0
50,EntityNode,J. Edgar Hoover,814,3,814,814,3,2,2,0,1,0
51,EntityNode,Nawab Wajid Ali Shah,221,3,221,221,3,2,4,0,1,0
52,EntityNode,ammunition,221,2,221,221,2,2,0,0,0,0
53,EntityNode,Disneyland,814,3,814,814,3,2,1,0,1,0
54,EntityNode,Spiro Agnew,814,3,814,814,3,2,2,0,1,0
55,EntityNode,National Botanical Research Institute,221,3,221,221,3,2,1,0,1,0
56,EntityNode,Jane Fonda,814,3,814,814,3,2,2,0,1,0
57,EntityNode,rifles,221,2,221,221,2,2,0,0,0,0
58,EntityNode,Las Vegas,814,2,814,814,2,2,0,0,0,0
59,EntityNode,Indian Rebellion of 1857,221,3,221,221,3,2,3,0,1,0
60,EntityNode,Wajid Ali Shah,221,3,221,221,3,2,3,0,1,0
61,EntityNode,Mao Zedong,814,3,814,814,3,2,2,0,1,0
62,EntityNode,John Wayne,814,3,814,814,3,2,1,0,1,0
63,EntityNode,New York,4341,15,4341,4341,15,14,2,0,1,0
64,EntityNode,Charles de Gaulle,815,3,815,814,3,2,1,0,1,0
65,EntityNode,Richard Nixon,2438,7,2438,2438,7,6,2,0,1,0
66,EntityNode,Dryosaurus,3054,6,3054,3054,6,6,0,0,0,0
67,EntityNode,Cook's Ferry Indian Band,159,3,159,158,3,2,3,0,1,0
68,EntityNode,Mochlodon,2290,3,2290,2290,3,2,1,0,1,0
69,EntityNode,Nlaka'pamux Nation Tribal Council,158,3,158,158,3,2,4,0,1,0
