EdgeID,Type,IsDirected,Cardinality,UndirectedCardinality,TailCardinality,HeadCardinality
0,DocumentEdge,false,395,395,0,0
1,DocumentEdge,false,161,161,0,0
2,DocumentEdge,false,874,874,0,0
3,DocumentEdge,false,404,404,0,0
4,RelatedToEdge,false,224,224,0,0
5,RelatedToEdge,false,15,15,0,0
6,RelatedToEdge,false,74,74,0,0
7,RelatedToEdge,false,64,64,0,0
8,DocumentEdge,false,409,409,0,0
9,RelatedToEdge,false,32,32,0,0
10,DocumentEdge,false,715,715,0,0
11,RelatedToEdge,false,86,86,0,0
12,DocumentEdge,false,693,693,0,0
13,RelatedToEdge,false,75,75,0,0
14,DocumentEdge,false,65,65,0,0
15,RelatedToEdge,false,14,14,0,0
16,DocumentEdge,false,1368,1368,0,0
17,RelatedToEdge,false,590,590,0,0
18,DocumentEdge,false,1300,1300,0,0
19,RelatedToEdge,false,299,299,0,0
20,DocumentEdge,false,146,146,0,0
21,RelatedToEdge,false,40,40,0,0
22,DocumentEdge,false,181,181,0,0
23,RelatedToEdge,false,20,20,0,0
24,DocumentEdge,false,310,310,0,0
25,RelatedToEdge,false,47,47,0,0
26,DocumentEdge,false,1098,1098,0,0
27,RelatedToEdge,false,149,149,0,0
28,DocumentEdge,false,1260,1260,0,0
29,RelatedToEdge,false,135,135,0,0
30,DocumentEdge,false,368,368,0,0
31,RelatedToEdge,false,32,32,0,0
32,DocumentEdge,false,256,256,0,0
33,RelatedToEdge,false,94,94,0,0
34,DocumentEdge,false,49,49,0,0
35,DocumentEdge,false,366,366,0,0
36,RelatedToEdge,false,78,78,0,0
37,DocumentEdge,false,378,378,0,0
38,RelatedToEdge,false,48,48,0,0
39,DocumentEdge,false,295,295,0,0
40,RelatedToEdge,false,59,59,0,0
41,RelatedToEdge,false,2,2,0,0
42,DocumentEdge,false,137,137,0,0
43,DocumentEdge,false,139,139,0,0
44,RelatedToEdge,false,21,21,0,0
45,RelatedToEdge,false,54,54,0,0
46,DocumentEdge,false,890,890,0,0
47,RelatedToEdge,false,120,120,0,0
48,DocumentEdge,false,444,444,0,0
49,RelatedToEdge,false,113,113,0,0
50,DocumentEdge,false,80,80,0,0
51,RelatedToEdge,false,18,18,0,0
52,DocumentEdge,false,531,531,0,0
53,RelatedToEdge,false,73,73,0,0
54,DocumentEdge,false,277,277,0,0
55,RelatedToEdge,false,63,63,0,0
56,DocumentEdge,false,477,477,0,0
57,RelatedToEdge,false,122,122,0,0
58,DocumentEdge,false,147,147,0,0
59,RelatedToEdge,false,29,29,0,0
60,DocumentEdge,false,114,114,0,0
61,RelatedToEdge,false,16,16,0,0
62,DocumentEdge,false,3490,3490,0,0
63,DocumentEdge,false,86,86,0,0
64,RelatedToEdge,false,4,4,0,0
65,DocumentEdge,false,1073,1073,0,0
66,DocumentEdge,false,244,244,0,0
67,RelatedToEdge,false,33,33,0,0
68,RelatedToEdge,false,200,200,0,0
69,RelatedToEdge,false,886,886,0,0
70,DocumentEdge,false,1006,1006,0,0
71,RelatedToEdge,false,103,103,0,0
72,DocumentEdge,false,416,416,0,0
73,RelatedToEdge,false,41,41,0,0
74,DocumentEdge,false,452,452,0,0
75,RelatedToEdge,false,14,14,0,0
76,DocumentEdge,false,8167,8167,0,0
77,RelatedToEdge,false,939,939,0,0
78,DocumentEdge,false,445,445,0,0
79,RelatedToEdge,false,77,77,0,0
80,DocumentEdge,false,105,105,0,0
81,RelatedToEdge,false,21,21,0,0
82,DocumentEdge,false,304,304,0,0
83,RelatedToEdge,false,10,10,0,0
84,DocumentEdge,false,328,328,0,0
85,DocumentEdge,false,447,447,0,0
86,RelatedToEdge,false,272,272,0,0
87,RelatedToEdge,false,48,48,0,0
88,DocumentEdge,false,592,592,0,0
89,RelatedToEdge,false,69,69,0,0
90,DocumentEdge,false,906,906,0,0
91,RelatedToEdge,false,113,113,0,0
92,DocumentEdge,false,373,373,0,0
93,RelatedToEdge,false,84,84,0,0
94,DocumentEdge,false,327,327,0,0
95,RelatedToEdge,false,91,91,0,0
96,DocumentEdge,false,48,48,0,0
97,RelatedToEdge,false,8,8,0,0
98,DocumentEdge,false,222,222,0,0
99,RelatedToEdge,false,17,17,0,0
100,DocumentEdge,false,874,874,0,0
101,RelatedToEdge,false,163,163,0,0
