Edge ID,Type,Degree
0,DocumentEdge,1
1,DocumentEdge,3
2,RelatedToEdge,3
3,RelatedToEdge,2
4,ContainedInEdge,3
5,ContainedInEdge,3
6,ContainedInEdge,2
7,ContainedInEdge,2
8,ContainedInEdge,3
9,ContainedInEdge,3
10,ContainedInEdge,3
11,ContainedInEdge,3
12,ContainedInEdge,3
13,ContainedInEdge,2
14,ContainedInEdge,2
15,ContainedInEdge,3
16,ContainedInEdge,3
17,ContainedInEdge,3
18,ContainedInEdge,3
19,ContainedInEdge,3
20,ContainedInEdge,3
21,ContainedInEdge,3
22,ContainedInEdge,3
23,ContainedInEdge,3
24,ContainedInEdge,3
25,ContainedInEdge,2
26,ContainedInEdge,3
27,ContainedInEdge,3
28,ContainedInEdge,2
29,ContainedInEdge,2
30,ContainedInEdge,2
31,ContainedInEdge,3
32,ContainedInEdge,2
33,ContainedInEdge,3
34,ContainedInEdge,3
35,ContainedInEdge,3
36,ContainedInEdge,3
37,ContainedInEdge,3
38,ContainedInEdge,3
