Edge ID,Type,Degree
0,DocumentEdge,125
1,DocumentEdge,169
2,DocumentEdge,2
3,DocumentEdge,175
4,RelatedToEdge,253
5,RelatedToEdge,167
6,RelatedToEdge,3
7,RelatedToEdge,157
8,DocumentEdge,85
9,RelatedToEdge,167
10,DocumentEdge,155
11,RelatedToEdge,167
12,DocumentEdge,157
13,RelatedToEdge,40
14,DocumentEdge,131
15,RelatedToEdge,131
16,DocumentEdge,149
17,RelatedToEdge,105
18,DocumentEdge,211
19,RelatedToEdge,211
20,DocumentEdge,203
21,RelatedToEdge,139
22,DocumentEdge,107
23,RelatedToEdge,84
24,DocumentEdge,143
25,RelatedToEdge,167
26,DocumentEdge,187
27,RelatedToEdge,135
28,DocumentEdge,169
29,RelatedToEdge,229
30,DocumentEdge,263
31,RelatedToEdge,563
32,DocumentEdge,135
33,RelatedToEdge,11
34,DocumentEdge,2
35,RelatedToEdge,3
36,DocumentEdge,169
37,RelatedToEdge,3
38,DocumentEdge,169
39,RelatedToEdge,3
40,DocumentEdge,3
41,RelatedToEdge,169
42,DocumentEdge,173
43,RelatedToEdge,13
44,DocumentEdge,173
45,RelatedToEdge,5
46,DocumentEdge,121
47,RelatedToEdge,176
48,DocumentEdge,2
49,DocumentEdge,40
50,RelatedToEdge,165
51,RelatedToEdge,2
52,DocumentEdge,169
53,RelatedToEdge,205
54,DocumentEdge,183
55,RelatedToEdge,168
56,DocumentEdge,108
57,RelatedToEdge,165
58,DocumentEdge,107
59,RelatedToEdge,207
60,DocumentEdge,171
61,RelatedToEdge,167
62,DocumentEdge,167
63,RelatedToEdge,169
64,DocumentEdge,334
65,RelatedToEdge,107
66,DocumentEdge,169
67,RelatedToEdge,166
68,DocumentEdge,187
69,RelatedToEdge,164
70,DocumentEdge,167
71,DocumentEdge,165
72,RelatedToEdge,203
73,RelatedToEdge,169
74,DocumentEdge,171
75,RelatedToEdge,259
76,DocumentEdge,5
77,RelatedToEdge,169
78,DocumentEdge,167
79,RelatedToEdge,167
80,DocumentEdge,168
81,RelatedToEdge,209
82,DocumentEdge,119
83,RelatedToEdge,113
84,DocumentEdge,107
85,RelatedToEdge,391
86,DocumentEdge,203
87,RelatedToEdge,105
88,DocumentEdge,185
89,RelatedToEdge,211
90,DocumentEdge,33
91,RelatedToEdge,171
92,DocumentEdge,105
93,RelatedToEdge,209
94,DocumentEdge,111
95,RelatedToEdge,167
96,DocumentEdge,105
97,RelatedToEdge,209
98,DocumentEdge,129
99,RelatedToEdge,167
100,DocumentEdge,119
101,RelatedToEdge,135
102,DocumentEdge,135
103,RelatedToEdge,164
104,DocumentEdge,143
105,RelatedToEdge,177
