Node ID,Type,Degree
0,EntityNode,1164
1,EntityNode,2176
2,EntityNode,681
3,EntityNode,681
4,EntityNode,681
5,EntityNode,3088
6,EntityNode,681
7,EntityNode,681
8,EntityNode,681
9,EntityNode,1820
10,EntityNode,5251
11,EntityNode,39634
12,EntityNode,681
13,EntityNode,98
14,EntityNode,1951
15,EntityNode,681
16,EntityNode,97
17,EntityNode,681
18,EntityNode,682
19,EntityNode,97
20,EntityNode,681
21,EntityNode,681
22,EntityNode,97
23,EntityNode,97
24,EntityNode,97
25,EntityNode,19530
26,EntityNode,97
27,EntityNode,97
28,EntityNode,1164
29,EntityNode,97
30,EntityNode,1164
31,EntityNode,3625
32,EntityNode,8042
33,EntityNode,4588
34,EntityNode,1564
35,EntityNode,11073
36,EntityNode,957
37,EntityNode,1164
38,EntityNode,6487
39,EntityNode,956
40,EntityNode,20678
41,EntityNode,1433
42,EntityNode,7355
43,EntityNode,956
44,EntityNode,1563
45,EntityNode,2241
46,EntityNode,1564
47,EntityNode,1164
48,EntityNode,1164
49,EntityNode,1564
50,EntityNode,10788
51,EntityNode,1673
52,EntityNode,1282
53,EntityNode,1164
54,EntityNode,1565
55,EntityNode,13730
56,EntityNode,957
57,EntityNode,956
58,EntityNode,1564
59,EntityNode,1564
60,EntityNode,1165
61,EntityNode,9724
62,EntityNode,4988
63,EntityNode,1164
64,EntityNode,1164
65,EntityNode,2529
66,EntityNode,681
67,EntityNode,681
68,EntityNode,681
69,EntityNode,30824
70,EntityNode,681
71,EntityNode,681
72,EntityNode,9234
73,EntityNode,681
74,EntityNode,4106
75,EntityNode,933
76,EntityNode,681
77,EntityNode,681
78,EntityNode,6459
79,EntityNode,681
80,EntityNode,11035
81,EntityNode,681
82,EntityNode,2338
83,EntityNode,681
84,EntityNode,27324
85,EntityNode,681
86,EntityNode,681
87,EntityNode,681
88,EntityNode,681
89,EntityNode,24347
90,EntityNode,681
91,EntityNode,681
92,EntityNode,681
93,EntityNode,18576
94,EntityNode,8334
95,EntityNode,9119
96,EntityNode,3114
97,EntityNode,681
98,EntityNode,681
99,EntityNode,5810
100,EntityNode,681
101,EntityNode,2719
102,EntityNode,4015
103,EntityNode,3114
104,EntityNode,930
105,EntityNode,681
106,EntityNode,1164
107,EntityNode,2916
108,EntityNode,3882
109,EntityNode,35449
110,EntityNode,1164
111,EntityNode,2056
112,EntityNode,1164
113,EntityNode,1563
114,EntityNode,8647
115,EntityNode,956
116,EntityNode,1164
117,EntityNode,1164
118,EntityNode,1563
119,EntityNode,1893
120,EntityNode,1164
121,EntityNode,1164
122,EntityNode,1563
123,EntityNode,2185
124,EntityNode,1563
125,EntityNode,1164
126,EntityNode,1563
127,EntityNode,1563
128,EntityNode,4371
129,EntityNode,1696
130,EntityNode,1164
131,EntityNode,1563
132,EntityNode,1164
133,EntityNode,1564
134,EntityNode,1164
135,EntityNode,1563
136,EntityNode,1164
137,EntityNode,1563
138,EntityNode,956
139,EntityNode,1164
140,EntityNode,11698
141,EntityNode,1563
142,EntityNode,956
143,EntityNode,1164
144,EntityNode,956
145,EntityNode,6395
146,EntityNode,1164
147,EntityNode,956
148,EntityNode,1906
149,EntityNode,1164
150,EntityNode,956
151,EntityNode,6558
152,EntityNode,956
153,EntityNode,1563
154,EntityNode,1164
155,EntityNode,3375
156,EntityNode,956
157,EntityNode,10801
158,EntityNode,1563
159,EntityNode,1164
160,EntityNode,9806
161,EntityNode,1164
162,EntityNode,1164
163,EntityNode,957
164,EntityNode,2002
165,EntityNode,1564
166,EntityNode,18090
167,EntityNode,1563
168,EntityNode,1164
169,EntityNode,1282
170,EntityNode,1563
171,EntityNode,1165
172,EntityNode,1164
173,EntityNode,956
174,EntityNode,2350
175,EntityNode,6281
176,EntityNode,1756
177,EntityNode,3632
178,EntityNode,1164
179,EntityNode,1164
180,EntityNode,13629
181,EntityNode,17080
182,EntityNode,10111
183,EntityNode,15456
184,EntityNode,3663
185,EntityNode,2789
186,EntityNode,1164
187,EntityNode,1164
188,EntityNode,6423
189,EntityNode,1164
190,EntityNode,4371
191,EntityNode,1949
192,EntityNode,12971
193,EntityNode,8171
194,EntityNode,6866
195,EntityNode,4371
196,EntityNode,1164
197,EntityNode,15824
198,EntityNode,1164
199,EntityNode,1164
200,EntityNode,3289
201,EntityNode,4402
202,EntityNode,2992
203,EntityNode,11228
204,EntityNode,2837
205,EntityNode,1164
206,EntityNode,4993
207,EntityNode,1164
208,EntityNode,3921
209,EntityNode,1164
210,EntityNode,1164
211,EntityNode,1165
212,EntityNode,8381
213,EntityNode,1164
214,EntityNode,3270
215,EntityNode,1164
216,EntityNode,3270
217,EntityNode,4588
218,EntityNode,1164
219,EntityNode,1164
220,EntityNode,5497
221,EntityNode,3115
222,EntityNode,6832
223,EntityNode,1164
224,EntityNode,1511
225,EntityNode,1164
226,EntityNode,1164
227,EntityNode,1166
228,EntityNode,1164
229,EntityNode,1164
230,EntityNode,10260
231,EntityNode,1165
232,EntityNode,1164
233,EntityNode,11692
234,EntityNode,1164
235,EntityNode,1164
236,EntityNode,11449
237,EntityNode,1164
238,EntityNode,1165
239,EntityNode,1164
240,EntityNode,1164
241,EntityNode,1164
242,EntityNode,1164
243,EntityNode,2436
244,EntityNode,4140
245,EntityNode,1164
246,EntityNode,1164
247,EntityNode,1164
248,EntityNode,1164
249,EntityNode,1164
250,EntityNode,8885
251,EntityNode,1164
252,EntityNode,8245
253,EntityNode,1164
254,EntityNode,1164
255,EntityNode,1706
256,EntityNode,6472
257,EntityNode,1164
258,EntityNode,12241
259,EntityNode,5830
260,EntityNode,6047
261,EntityNode,10104
262,EntityNode,1164
263,EntityNode,1164
264,TermNode,729
265,TermNode,92587
266,TermNode,12567
267,TermNode,30911
268,TermNode,52569
269,TermNode,11009
270,TermNode,26442
271,TermNode,21821
272,TermNode,29216
273,TermNode,67414
274,TermNode,23086
275,TermNode,54278
276,TermNode,97
277,TermNode,97
278,TermNode,1706
279,TermNode,85580
280,TermNode,42121
281,TermNode,46486
282,TermNode,9930
283,TermNode,42923
284,TermNode,47009
285,TermNode,55345
286,TermNode,12575
287,TermNode,50884
288,TermNode,14854
289,TermNode,56210
290,TermNode,63312
291,TermNode,42217
292,TermNode,35082
293,TermNode,1321
294,TermNode,48098
295,TermNode,14832
296,TermNode,92538
297,TermNode,31166
298,TermNode,54190
299,TermNode,49031
300,TermNode,102760
301,TermNode,65505
302,TermNode,26993
303,TermNode,32616
304,TermNode,89114
305,TermNode,73561
306,TermNode,94390
307,TermNode,16891
308,TermNode,10632
309,TermNode,39765
310,TermNode,2744
311,TermNode,49420
312,TermNode,32505
313,TermNode,29145
314,TermNode,83974
315,TermNode,1106
316,TermNode,58025
317,TermNode,21985
318,TermNode,82473
319,TermNode,30803
320,TermNode,25058
321,TermNode,44466
322,TermNode,55709
323,TermNode,91435
324,TermNode,83856
325,TermNode,65961
326,TermNode,32982
327,TermNode,68656
328,TermNode,97
329,TermNode,71983
330,TermNode,88029
331,TermNode,4147
332,TermNode,38865
333,TermNode,5578
334,TermNode,68651
335,TermNode,79550
336,TermNode,13874
337,TermNode,1686
338,TermNode,2588
339,TermNode,4435
340,TermNode,99590
341,TermNode,72771
342,TermNode,9166
343,TermNode,16742
344,TermNode,3158
345,TermNode,79390
346,TermNode,4865
347,TermNode,2412
348,TermNode,665
349,TermNode,97
350,TermNode,73385
351,EntityNode,156
352,EntityNode,156
353,EntityNode,156
354,EntityNode,512
355,EntityNode,156
356,EntityNode,1944
357,EntityNode,156
358,EntityNode,156
359,EntityNode,156
360,EntityNode,156
361,EntityNode,6417
362,EntityNode,897
363,EntityNode,1362
364,EntityNode,156
365,EntityNode,24059
366,EntityNode,156
367,EntityNode,156
368,EntityNode,156
369,EntityNode,156
370,EntityNode,1236
371,EntityNode,2746
372,EntityNode,156
373,EntityNode,7364
374,EntityNode,937
375,EntityNode,156
376,EntityNode,6402
377,EntityNode,3179
378,TermNode,156
379,TermNode,62359
380,TermNode,6896
381,TermNode,156
382,TermNode,28756
383,TermNode,28212
384,TermNode,86445
385,TermNode,156
386,TermNode,62867
387,TermNode,37329
388,TermNode,73998
389,TermNode,34177
390,TermNode,55069
391,TermNode,32715
392,TermNode,29799
393,TermNode,156
394,TermNode,34122
395,TermNode,61002
396,TermNode,13861
397,TermNode,94236
398,TermNode,74028
399,TermNode,88284
400,TermNode,54144
401,TermNode,67268
402,TermNode,46225
403,TermNode,12895
404,TermNode,91481
405,TermNode,86847
406,TermNode,57872
407,TermNode,87315
408,TermNode,156
409,TermNode,27305
410,TermNode,2698
411,TermNode,74072
412,TermNode,2981
413,TermNode,47059
414,TermNode,87974
415,TermNode,95958
416,TermNode,98485
417,TermNode,20648
418,TermNode,35135
419,TermNode,10396
420,TermNode,2949
421,TermNode,82646
422,TermNode,69762
423,TermNode,156
424,TermNode,61536
425,TermNode,69083
426,TermNode,28092
427,TermNode,8435
428,TermNode,156
429,TermNode,53769
430,TermNode,54501
431,TermNode,9940
432,TermNode,20540
433,TermNode,73266
434,TermNode,27444
435,TermNode,59578
436,TermNode,62555
437,TermNode,44675
438,TermNode,62698
439,TermNode,78319
440,TermNode,72939
441,TermNode,3100
442,TermNode,32530
443,TermNode,156
444,TermNode,103104
445,TermNode,4110
446,TermNode,41703
447,TermNode,36025
448,TermNode,39189
449,TermNode,24955
450,TermNode,48514
451,TermNode,49902
452,TermNode,156
453,TermNode,109844
454,TermNode,87058
455,TermNode,44172
456,TermNode,156
457,TermNode,36631
458,TermNode,7887
459,TermNode,27046
460,TermNode,25011
461,TermNode,424
462,TermNode,38326
463,TermNode,36082
464,TermNode,60783
465,TermNode,86346
466,TermNode,49438
467,TermNode,12634
468,TermNode,156
469,TermNode,15158
470,TermNode,57428
471,TermNode,23981
472,TermNode,24676
473,TermNode,54129
474,TermNode,17480
475,TermNode,156
476,TermNode,82879
477,TermNode,51372
478,TermNode,76542
479,TermNode,20421
480,TermNode,76744
481,TermNode,49360
482,TermNode,13456
483,TermNode,16365
484,TermNode,28556
