Edge ID,Type,Degree
0,DocumentEdge,105
1,DocumentEdge,3
2,DocumentEdge,2
3,DocumentEdge,11
4,RelatedToEdge,7
5,RelatedToEdge,2
6,RelatedToEdge,105
7,RelatedToEdge,105
8,DocumentEdge,106
9,RelatedToEdge,164
10,DocumentEdge,111
11,RelatedToEdge,2
12,DocumentEdge,177
13,RelatedToEdge,84
14,DocumentEdge,108
15,RelatedToEdge,40
16,DocumentEdge,155
17,RelatedToEdge,139
18,DocumentEdge,187
19,DocumentEdge,563
20,RelatedToEdge,151
21,DocumentEdge,83
22,RelatedToEdge,173
23,RelatedToEdge,184
24,DocumentEdge,139
25,RelatedToEdge,3
26,DocumentEdge,13
27,RelatedToEdge,109
28,DocumentEdge,165
29,RelatedToEdge,334
30,DocumentEdge,165
31,RelatedToEdge,171
32,DocumentEdge,135
33,RelatedToEdge,209
34,DocumentEdge,211
35,DocumentEdge,157
36,RelatedToEdge,189
37,RelatedToEdge,143
38,DocumentEdge,203
39,DocumentEdge,85
40,RelatedToEdge,726
41,RelatedToEdge,135
42,DocumentEdge,171
43,RelatedToEdge,280
44,DocumentEdge,157
45,DocumentEdge,135
46,RelatedToEdge,209
47,RelatedToEdge,131
48,DocumentEdge,183
49,RelatedToEdge,170
50,DocumentEdge,167
51,RelatedToEdge,109
52,DocumentEdge,819
53,RelatedToEdge,243
54,DocumentEdge,3
55,RelatedToEdge,3
56,DocumentEdge,167
57,RelatedToEdge,168
58,DocumentEdge,167
59,RelatedToEdge,5
60,DocumentEdge,40
61,RelatedToEdge,185
62,DocumentEdge,9
63,RelatedToEdge,2
64,DocumentEdge,259
65,RelatedToEdge,169
66,DocumentEdge,167
67,RelatedToEdge,8
68,DocumentEdge,7
69,RelatedToEdge,3
70,DocumentEdge,129
71,RelatedToEdge,3
72,DocumentEdge,3
73,RelatedToEdge,2
74,DocumentEdge,4
75,RelatedToEdge,3
76,DocumentEdge,3
77,RelatedToEdge,3
78,DocumentEdge,3
79,RelatedToEdge,143
80,DocumentEdge,131
81,RelatedToEdge,149
82,DocumentEdge,391
